feature,Resort_%,Resort_rank,City_%,City_rank,Avg_%
country_PRT,16.73,1,12.86,2,14.79
total_of_special_requests,5.41,4,13.28,1,9.34
lead_time,8.39,3,9.29,3,8.84
required_car_parking_spaces,13.26,2,1.39,22,7.33
CT_Transient,4.37,8,4.39,4,4.38
MS_Online TA,5.06,5,3.63,7,4.34
adr,4.56,7,4.03,5,4.29
arrival_date_year,4.56,6,3.19,10,3.87
ART_A,4.11,9,2.69,12,3.4
previous_cancellations,2.44,13,3.47,9,2.96
booking_changes,2.2,14,3.48,8,2.84
MS_Offline TA/TO,3.43,10,2.01,14,2.72
arrival_date_week_number,2.84,12,2.4,13,2.62
CT_Transient-Party,0.38,37,3.8,6,2.09
MS_Groups,1.05,18,2.69,11,1.87
arrival_date_day_of_month,1.72,15,2.01,15,1.87
RRT_A,2.95,11,0.75,28,1.85
stays_in_week_nights,1.25,17,1.88,18,1.56
arrival_date_month,0.93,19,1.71,19,1.32
stays_in_weekend_nights,0.92,21,1.32,23,1.12
DCH_TA/TO,0.25,42,1.88,17,1.06
country_FRA,0.15,48,1.97,16,1.06
holiday_x_domestic,0.34,38,1.51,21,0.93
country_DEU,0.07,50,1.59,20,0.83
DCH_Direct,0.89,22,0.77,27,0.83
adults,0.51,28,1.12,25,0.81
previous_bookings_not_canceled,1.33,16,0.27,43,0.8
ART_D,0.4,33,1.2,24,0.8
country_GBR,0.92,20,0.49,34,0.71
meal,0.39,35,0.96,26,0.67
agent_binary,0.85,24,0.48,36,0.67
country_ESP,0.56,25,0.66,30,0.61
MS_Direct,0.49,29,0.66,29,0.58
is_repeated_guest,0.86,23,0.2,48,0.53
RRT_D,0.38,36,0.49,35,0.43
children,0.28,40,0.52,32,0.4
is_public_holiday,0.22,43,0.56,31,0.39
company_binary,0.32,39,0.38,38,0.35
country_IRL,0.54,27,0.12,51,0.33
RRT_E,0.55,26,0.1,53,0.33
ART_E,0.48,30,0.13,50,0.3
country_ITA,0.07,52,0.5,33,0.29
ART_F,0.41,31,0.11,52,0.26
DCH_Corporate,0.25,41,0.22,46,0.24
ART_G,0.39,34,0.1,54,0.24
MS_Corporate,0.18,44,0.27,42,0.23
country_BEL,0.12,49,0.35,40,0.23
days_in_waiting_list,0.04,56,0.41,37,0.22
country_NLD,0.05,54,0.36,39,0.21
ART_I,0.41,32,0.0,62,0.2
CT_Contract,0.15,47,0.25,44,0.2
country_BRA,0.04,55,0.32,41,0.18
ART_B,0.01,61,0.22,45,0.11
RRT_G,0.17,45,0.05,56,0.11
RRT_B,0.0,63,0.2,47,0.1
RRT_F,0.07,51,0.09,55,0.08
country_USA,0.02,60,0.15,49,0.08
ART_C,0.16,46,0.01,59,0.08
RRT_H,0.06,53,0.0,62,0.03
MS_Complementary,0.0,62,0.03,57,0.02
babies,0.02,59,0.03,58,0.02
ART_H,0.02,58,0.0,62,0.01
RRT_C,0.02,57,0.0,60,0.01
ART_J,0.0,63,0.0,62,0.0
