Window,Hotel,Pct_Flagged,Cancel_Regular,Cancel_Holiday,Difference_pp,Chi2,p_value,Cramers_V
±0,Resort,3.6,27.64,31.57,3.93,9.6839,0.0019,0.0156
±0,City,3.6,41.58,47.3,5.72,37.7297,0.0,0.0219
±1,Resort,10.6,27.4,30.84,3.43,22.2056,0.0,0.0235
±1,City,10.6,41.41,45.04,3.63,40.1889,0.0,0.0226
±2,Resort,17.3,27.18,30.52,3.35,32.1972,0.0,0.0284
±2,City,17.3,40.89,46.14,5.25,127.343,0.0,0.0402
±3,Resort,23.4,27.04,30.11,3.07,33.7134,0.0,0.029
±3,City,23.4,40.74,45.27,4.53,119.2469,0.0,0.0389
±4,Resort,28.2,26.98,29.8,2.82,31.8859,0.0,0.0282
±4,City,28.2,40.61,44.79,4.18,114.6833,0.0,0.0381
±5,Resort,32.6,26.9,29.63,2.73,32.1412,0.0,0.0283
±5,City,32.6,40.41,44.61,4.2,126.3659,0.0,0.04
±7,Resort,40.8,27.36,28.38,1.03,4.9926,0.0255,0.0112
±7,City,40.8,40.06,44.27,4.22,139.6463,0.0,0.0421
