feature,mean_|SHAP|,pct_of_total,rank
country_PRT,1.3108,16.73,1
required_car_parking_spaces,1.0393,13.26,2
lead_time,0.6577,8.39,3
total_of_special_requests,0.4238,5.41,4
MS_Online TA,0.3962,5.06,5
arrival_date_year,0.3576,4.56,6
adr,0.357,4.56,7
CT_Transient,0.3422,4.37,8
ART_A,0.3221,4.11,9
MS_Offline TA/TO,0.2688,3.43,10
RRT_A,0.2309,2.95,11
arrival_date_week_number,0.2223,2.84,12
previous_cancellations,0.1912,2.44,13
booking_changes,0.1728,2.2,14
arrival_date_day_of_month,0.1351,1.72,15
previous_bookings_not_canceled,0.1045,1.33,16
stays_in_week_nights,0.098,1.25,17
MS_Groups,0.0826,1.05,18
arrival_date_month,0.0731,0.93,19
country_GBR,0.0725,0.92,20
stays_in_weekend_nights,0.0724,0.92,21
DCH_Direct,0.0696,0.89,22
is_repeated_guest,0.0675,0.86,23
agent_binary,0.0667,0.85,24
country_ESP,0.0437,0.56,25
RRT_E,0.0429,0.55,26
country_IRL,0.0423,0.54,27
adults,0.0403,0.51,28
MS_Direct,0.0383,0.49,29
ART_E,0.0374,0.48,30
ART_F,0.0324,0.41,31
ART_I,0.0321,0.41,32
ART_D,0.0313,0.4,33
ART_G,0.0308,0.39,34
meal,0.0308,0.39,35
RRT_D,0.03,0.38,36
CT_Transient-Party,0.0294,0.38,37
holiday_x_domestic,0.0264,0.34,38
company_binary,0.0249,0.32,39
children,0.0216,0.28,40
DCH_Corporate,0.0199,0.25,41
DCH_TA/TO,0.0196,0.25,42
is_public_holiday,0.0173,0.22,43
MS_Corporate,0.014,0.18,44
RRT_G,0.013,0.17,45
ART_C,0.0123,0.16,46
CT_Contract,0.0118,0.15,47
country_FRA,0.0114,0.15,48
country_BEL,0.0096,0.12,49
country_DEU,0.0057,0.07,50
RRT_F,0.0056,0.07,51
country_ITA,0.0053,0.07,52
RRT_H,0.0047,0.06,53
country_NLD,0.0039,0.05,54
country_BRA,0.0032,0.04,55
days_in_waiting_list,0.0027,0.04,56
RRT_C,0.0018,0.02,57
ART_H,0.0013,0.02,58
babies,0.0012,0.02,59
country_USA,0.0012,0.02,60
ART_B,0.0005,0.01,61
MS_Complementary,0.0003,0.0,62
RRT_B,0.0,0.0,63
ART_J,0.0,0.0,63
